id,author_id,full_name,others,university,subjects,document_by_author,total_citation_number,total_document,h_index
545,7403430958,"Tang William","Tang, W.","Fairchild Tropical Botanic Garden, Miami, United States","Agricultural and Biological Sciences, Decision Sciences, Psychology, Biochemistry Genetics and Molecular Biology, Mathematics, Medicine, Environmental Science",5,265,256,5
546,7004010846,"Groth Inga","groth, Inga| Groth, Iga| Groth, I.","Göteborgs Universitet, Gothenburg, Sweden","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Chemistry, Pharmacology Toxicology and Pharmaceutics, Environmental Science, Multidisciplinary",19,955,644,17
547,7005980355,"Bergström Gunnar","BergstrÖm, Gunnar| Bergstrom, Gunnar| BergstrÖm, G.| Bergstrom, G.| Bergström, G.","Göteborgs Universitet, Gothenburg, Sweden","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Environmental Science, Chemistry, Pharmacology Toxicology and Pharmaceutics, Medicine, Chemical Engineering, Multidisciplinary, Social Sciences",97,3688,2293,37
548,24353877600,"Thiens Leonard B.",NA,"Tulane University, New Orleans, United States","Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology",1,70,70,1
549,7101750278,"Bohm Bruce A.","Bohm, B.| Bohm, B. A.| BOHM, BRUCE A.| Bohm, Bruce| BOHM, B. A.","The University of British Columbia, Vancouver, Canada","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Pharmacology Toxicology and Pharmaceutics, Chemistry, Medicine, Multidisciplinary, Social Sciences, Environmental Science",134,1781,1391,20
550,7003950083,"Stuessy Tod Falor D.","Stuessy, Tod F.| Stuessy, T.| Stuessy, Tod Falor| Stuessy, Tod| Stuessy, T. F.| Stuessy, Tod F.D.","Ohio State University, Columbus, United States","Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology, Environmental Science, Multidisciplinary, Chemistry, Pharmacology Toxicology and Pharmaceutics, Earth and Planetary Sciences, Social Sciences, Mathematics, Medicine, Physics and Astronomy",229,6196,4432,38
551,7007133458,"Beauregard Marc","Beauregard, M.| Beauregard","Université du Québec à Trois-Rivières, Trois-Rivieres, Canada","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Immunology and Microbiology, Environmental Science, Energy, Chemical Engineering, Medicine, Chemistry, Materials Science, Physics and Astronomy, Health Professions, Engineering, Neuroscience, Veterinary, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",67,1074,958,17
552,57197652329,"Martin Iris",NA,"Max-Planck-Institut für Bioanorganische Chemie, , Germany","Biochemistry Genetics and Molecular Biology, Chemistry",3,82,82,2
553,35501122300,"Holzwarth Alfred R.","Holzwarth, Alfre D.| Holzwarth, Alfred| Holzwarth, A.| Holzwarth, A. R.","Vrije Universiteit Amsterdam, Amsterdam, Netherlands","Biochemistry Genetics and Molecular Biology, Chemistry, Physics and Astronomy, Agricultural and Biological Sciences, Chemical Engineering, Medicine, Materials Science, Multidisciplinary, Engineering, Immunology and Microbiology, Mathematics, Environmental Science, Energy, Pharmacology Toxicology and Pharmaceutics",228,11309,5958,61
554,7402363857,"Rogers Christine",NA,"Inflazyme Pharmaceuticals Ltd., Richmond, Canada","Chemistry, Biochemistry Genetics and Molecular Biology, Pharmacology Toxicology and Pharmaceutics, Chemical Engineering",8,203,154,7
555,7004435448,"Keay Brian A.","Keay, B. A.| Keay, Brain A.","University of Calgary, Calgary, Canada","Chemistry, Biochemistry Genetics and Molecular Biology, Pharmacology Toxicology and Pharmaceutics, Materials Science, Chemical Engineering",92,3039,2249,32
556,57193990305,"Bekkay T.",NA,"Polytechnique Montréal, Montreal, Canada","Physics and Astronomy, Chemistry, Materials Science",4,37,34,3
557,6603229334,"Piyakis Konstantinos N.","Piyakis, K. N.| Piyakis, K.| Piyakis, Konstantinos","Polytechnique Montréal, Montreal, Canada","Physics and Astronomy, Chemistry, Materials Science",22,414,399,9
558,57199583193,"Diawara Y.",NA,"Polytechnique Montréal, Montreal, Canada","Physics and Astronomy, Materials Science, Chemistry",6,75,75,5
559,7006397309,"Sacher Edward","Sacher, E.","Polytechnique Montréal, Montreal, Canada","Materials Science, Physics and Astronomy, Chemistry, Engineering, Chemical Engineering, Energy, Biochemistry Genetics and Molecular Biology, Dentistry, Medicine, Pharmacology Toxicology and Pharmaceutics, Environmental Science, Computer Science, Multidisciplinary",298,7041,5606,43
560,7004996023,"Yelon Arthur","Yelon, A.","Polytechnique Montréal, Montreal, Canada","Physics and Astronomy, Materials Science, Engineering, Chemistry, Chemical Engineering, Energy, Computer Science, Medicine, Mathematics, Multidisciplinary",286,4724,3334,36
561,7202634806,"Currie John F.","Currie, J.| Currie, J. F.| Currie, John","Georgetown University, Washington, D.C., United States","Physics and Astronomy, Engineering, Materials Science, Chemistry, Computer Science, Mathematics, Biochemistry Genetics and Molecular Biology, Medicine, Energy, Chemical Engineering, Neuroscience",120,2024,1814,20
562,24355034800,"Curzon Albert E.","Curzon, A. E.| Curzon, A.| Curzon, A. C.","Simon Fraser University, Burnaby, Canada","Physics and Astronomy, Materials Science, Engineering, Medicine, Chemical Engineering, Biochemistry Genetics and Molecular Biology, Chemistry, Energy, Computer Science, Health Professions, Environmental Science, Multidisciplinary",114,1098,892,17
563,35607307800,"Dandamudi Sivarama P.","Dandamudi, S.| Dandamudi, S. P.| Dandamudi, Sivarama","Carleton University, School of Computer Science, Ottawa, Canada","Computer Science, Mathematics, Engineering",59,523,420,12
564,7003429031,"Owa Shigeyoshi","Owa, S.| Owa, Shigeyoski| Owa, Shiqeyoshi| Owa, Shigeyosi","Universitatea 1 Decembrie 1918 din Alba Iulia, Alba Iulia,","Mathematics, Engineering, Computer Science, Materials Science, Physics and Astronomy, Multidisciplinary",182,1169,919,17
565,16187002800,"Sibbald Peter R.","Sibbald, Peter| Sibbald, P. R.","German Cancer Research Center, Heidelberg, Germany","Biochemistry Genetics and Molecular Biology, Mathematics, Computer Science, Medicine, Agricultural and Biological Sciences, Immunology and Microbiology, Decision Sciences, Environmental Science, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",24,2342,2304,11
566,16154388100,"Sommerfeldt Hubert","Sommerfeldt, H.","European Molecular Biology Laboratory Heidelberg, Heidelberg, Germany","Biochemistry Genetics and Molecular Biology, Computer Science, Mathematics, Medicine",4,93,93,4
567,7006405858,"Argos Patrick","ARGOS, PATRICK| Argos, P.| ARGOS, Patrick","Università degli Studi di Roma La Sapienza, Rome, Italy","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Mathematics, Computer Science, Chemical Engineering, Medicine, Pharmacology Toxicology and Pharmaceutics, Neuroscience, Agricultural and Biological Sciences, Decision Sciences, Environmental Science, Chemistry, Physics and Astronomy, Engineering, Multidisciplinary",197,21241,17830,77
568,7402864672,"Wong Henry C.","Wong, Henry| Wong, H.","University of Victoria, Victoria, Canada","Earth and Planetary Sciences, Engineering",6,47,39,3
569,7101627265,"Antoniou Andreas","Antoniou, A.","Ministry of Agriculture and Natural Resources Cyprus, Nicosia, Cyprus","Engineering, Computer Science, Materials Science, Earth and Planetary Sciences, Mathematics, Physics and Astronomy, Medicine, Environmental Science, Chemical Engineering, Chemistry, Social Sciences, Decision Sciences, Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology",356,3087,2523,28
570,56977213200,"Jeffries Clark",NA,"University of Victoria, Victoria, Canada",Mathematics,1,3,3,1
571,56977257100,"van den Driessche P.","Van Den Driessche, P.","Clemson University, Clemson, United States",Mathematics,1,3,3,1
572,7005766392,"van den Driessche Pauline V.","Van Den Driessche, P.| van den Driessche, P.| Van Den Driessche, P. V.| van den Driessche, Pauline| Van Den Driessche, Pauline| van Den Driessche, Pauline| van Den Driessche, P.| Van den Driessche, P.","University of Victoria, Victoria, Canada","Mathematics, Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology, Environmental Science, Medicine, Immunology and Microbiology, Physics and Astronomy, Chemistry, Chemical Engineering, Neuroscience, Computer Science, Pharmacology Toxicology and Pharmaceutics, Social Sciences, Engineering, Materials Science, Decision Sciences",234,9651,7149,44
573,7003347773,"Mitsuda Yoshitaka","Yoshitaka, Mitsuda| Mitsuda, Y.","University of Tokyo, Tokyo, Japan","Materials Science, Computer Science, Physics and Astronomy, Engineering, Chemistry, Biochemistry Genetics and Molecular Biology, Social Sciences, Chemical Engineering",66,830,768,14
574,7405977595,"Yamada Taro","Yamada, T.","University of Tokyo, Tokyo, Japan","Physics and Astronomy, Chemistry, Materials Science, Chemical Engineering, Energy, Biochemistry Genetics and Molecular Biology, Engineering, Environmental Science",149,4824,3318,39
575,7202737745,"Chuang Tungjung","Chuang, Tung J.| Chuang, Tung Jung| Chuang, T. J.| Chuang, T.","National Taiwan University, Taipei, Taiwan","Physics and Astronomy, Chemistry, Materials Science, Engineering, Chemical Engineering, Biochemistry Genetics and Molecular Biology, Computer Science",149,6724,5024,41
576,14625743000,"Seki Hajime","Seki, H.","IBM Almaden Research Center, San Jose, United States","Physics and Astronomy, Chemistry, Materials Science, Chemical Engineering, Engineering, Biochemistry Genetics and Molecular Biology, Energy, Computer Science",82,4034,2998,36
577,24754856600,"Chin R. P.","Chin, R.","Lawrence Berkeley National Laboratory, Berkeley, United States","Physics and Astronomy, Materials Science, Chemistry, Multidisciplinary",11,631,506,9
578,34872209400,"Huang Jung Yaw John","Huang, Jung Y.| Huang, J. Y.John| Huang, Jung Yau| Huang, Jung Y.John| Huang, Jung| Huang, J.| Huang, Jung Yaw| Huang, J. Y.","National Chiao Tung University Taiwan, Hsinchu, Taiwan","Physics and Astronomy, Materials Science, Engineering, Chemistry, Biochemistry Genetics and Molecular Biology, Mathematics, Energy, Computer Science, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics",153,2798,2282,32
579,35462742600,"Shen Yuen Ron","Ron Shen, Y.| Shen, Yuen R.| Shen, Y. R.| Shen, Yuan Ron| Shen, Yuen RON| Shen, Y.| SHEN YR| Shen, Ron Y.| Shen, Q.| Ron Shen, Yuen| Shen, Y. Ron","Fudan University, Shanghai, China","Physics and Astronomy, Chemistry, Materials Science, Engineering, Chemical Engineering, Multidisciplinary, Mathematics, Energy, Biochemistry Genetics and Molecular Biology, Computer Science, Earth and Planetary Sciences, Pharmacology Toxicology and Pharmaceutics",639,43547,26616,107
580,22991509300,"Erlesand U.","Erlesand| Erlesand, U","The Royal Institute of Technology (KTH), Stockholm, Sweden","Physics and Astronomy, Materials Science, Chemistry, Engineering, Mathematics",8,62,53,5
581,7007091153,"Östling Mikael","Ostling, M.| Ostling, Mikael| östling, Mikael| Östling, M.| Østling, Mikael| östling, M.","The Royal Institute of Technology (KTH), Stockholm, Sweden","Engineering, Materials Science, Physics and Astronomy, Chemistry, Computer Science, Chemical Engineering, Energy, Mathematics, Biochemistry Genetics and Molecular Biology, Social Sciences, Earth and Planetary Sciences",585,6861,4878,39
582,7202832668,"Svensson Bengt Gunnar","Svensson, Bengt| Svensson, B.| Svensson, B. G.| Svensson, Bentg G.| Svensson, Bengt G.","Universitetet i Oslo, Oslo, Norway","Physics and Astronomy, Materials Science, Engineering, Chemistry, Energy, Mathematics, Chemical Engineering, Computer Science, Business Management and Accounting, Multidisciplinary",583,9907,6207,48
583,7006377970,"Gas Patrick","Gas, P.","Institut Matériaux Microélectronique Nanosciences de Provence, Marseille, France","Physics and Astronomy, Materials Science, Engineering, Chemistry, Computer Science, Chemical Engineering, Energy, Arts and Humanities",106,2157,1570,25
584,7004886381,"Bruna Pablo J.","Bruna, Pablo| Bruna, P. J.","University of New Brunswick, Fredericton, Canada","Chemistry, Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Computer Science, Materials Science, Chemical Engineering",119,3378,2378,30
585,57204151293,"Wright James S.","Wright, J.| Wright, J. S.| Wright, James","Carleton University, Ottawa, Canada","Chemistry, Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Pharmacology Toxicology and Pharmaceutics, Chemical Engineering, Computer Science, Medicine, Environmental Science, Social Sciences, Mathematics, Materials Science, Multidisciplinary",142,5155,3840,36
586,7005658479,"Moberg Christina","Moberg, C.","The Royal Institute of Technology (KTH), Stockholm, Sweden","Chemistry, Biochemistry Genetics and Molecular Biology, Materials Science, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics, Engineering, Physics and Astronomy, Computer Science, Mathematics, Multidisciplinary",166,5528,4192,37
587,7004246279,"Norin Torbjörn","Norin, Torbjürn| Norin, Torbiörn| Norin, Tobjörn| Norin, Torbjǒrn| Norin, Torbjorn| Norin, Torbjarn| Norin, T.| Norin, Torbjöm","The Royal Institute of Technology (KTH), Stockholm, Sweden","Biochemistry Genetics and Molecular Biology, Chemistry, Pharmacology Toxicology and Pharmaceutics, Chemical Engineering, Agricultural and Biological Sciences, Environmental Science, Medicine, Immunology and Microbiology, Materials Science, Physics and Astronomy, Neuroscience, Nursing, Computer Science",124,3577,2733,38
588,7801522553,"Rákós László","Rákos, László| Rákós, Lászlo| Rakos, Laszlo","The Royal Institute of Technology (KTH), Stockholm, Sweden","Chemistry, Materials Science, Biochemistry Genetics and Molecular Biology, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics",7,100,91,6
589,6603076237,"Sjödin Kristina","Sjödin, K.","Mid Sweden University, Sundsvall, Sundsvall, Sweden","Biochemistry Genetics and Molecular Biology, Chemistry, Agricultural and Biological Sciences, Pharmacology Toxicology and Pharmaceutics, Materials Science, Chemical Engineering, Environmental Science",24,612,485,15
590,7203058320,"Alexander K. G.",Alexander,"University of Guelph, Guelph, Canada","Agricultural and Biological Sciences, Earth and Planetary Sciences, Biochemistry Genetics and Molecular Biology, Environmental Science",2,37,37,2
591,7406535015,"Miller Murray H.","Miller, M. H.| Miller, Murray| MILLER, M. H.","University of Guelph, Guelph, Canada","Agricultural and Biological Sciences, Environmental Science, Biochemistry Genetics and Molecular Biology, Earth and Planetary Sciences, Engineering, Chemistry, Immunology and Microbiology",47,4119,3277,28
592,7007168459,"Beauchamp Eric G.","Beauchamp, E. G.| Beauchamp, E.","University of Guelph, Guelph, Canada","Agricultural and Biological Sciences, Earth and Planetary Sciences, Environmental Science, Biochemistry Genetics and Molecular Biology, Chemistry, Immunology and Microbiology, Physics and Astronomy, Arts and Humanities",84,2811,2289,32
593,16432342200,"Zhang M. I.N.",NA,"Dalhousie University, Halifax, Canada","Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology, Decision Sciences, Mathematics, Environmental Science",10,297,185,7
594,7004785334,"Willison J. H.Martin","Willison, J. H.M.| Willison, J. H.| Martin Willison, J. H.| Willison, J. H.Martin","Dalhousie University, Halifax, Canada","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Medicine, Immunology and Microbiology, Environmental Science, Decision Sciences, Mathematics, Engineering, Chemistry, Materials Science, Physics and Astronomy, Chemical Engineering, Energy, Business Management and Accounting, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",51,1098,918,17
595,36551855200,"Siddiq M. Y.",NA,"The University of British Columbia, Vancouver, Canada","Agricultural and Biological Sciences, Decision Sciences, Biochemistry Genetics and Molecular Biology, Mathematics, Environmental Science",1,108,108,1
596,7202657474,"Glass Anthony D.M.","GLASS, ANTHONY D.M.| Glass, A. D.M.| GLASS, A. D.M.| Glass, A. D.","The University of British Columbia, Vancouver, Canada","Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology, Environmental Science, Decision Sciences, Mathematics, Chemistry, Pharmacology Toxicology and Pharmaceutics, Physics and Astronomy, Medicine, Multidisciplinary, Immunology and Microbiology, Social Sciences, Psychology, Energy, Materials Science",127,8887,4696,56
597,55434644100,"Ruth T. J.",NA,"TRIUMF, Vancouver, Canada","Agricultural and Biological Sciences, Decision Sciences, Biochemistry Genetics and Molecular Biology, Mathematics, Environmental Science",1,108,108,1
598,6508110341,"Stigson Michael",NA,"Uppsala Universitet, Uppsala, Sweden","Biochemistry Genetics and Molecular Biology, Pharmacology Toxicology and Pharmaceutics, Medicine, Environmental Science, Neuroscience, Agricultural and Biological Sciences, Chemistry, Veterinary",16,438,364,12
599,7006801939,"Kjellén Lena","Kjellen, L.| Kjellén, L.| Kjéllen, Lena| Kjellen, Lena| KJELLEN, L.","Uppsala Universitet, Uppsala, Sweden","Biochemistry Genetics and Molecular Biology, Medicine, Immunology and Microbiology, Multidisciplinary, Agricultural and Biological Sciences, Chemistry, Veterinary, Pharmacology Toxicology and Pharmaceutics",113,8379,6053,46
600,7004774181,"Piche´ Michel","Piché, Michel| Piche´, M.| Piché, M.| Piche, Michel| Pich́e, Michel| Piche, M.","Université Laval, Quebec, Canada","Physics and Astronomy, Engineering, Materials Science, Computer Science, Mathematics, Chemistry, Chemical Engineering",273,2774,2204,28
601,7103164872,"Amir Shimon","AMIR, SHIMON| Amir, S.","Concordia University, Montreal, Canada","Neuroscience, Biochemistry Genetics and Molecular Biology, Medicine, Pharmacology Toxicology and Pharmaceutics, Psychology, Agricultural and Biological Sciences, Multidisciplinary, Immunology and Microbiology, Environmental Science, Arts and Humanities",179,4713,3346,35
602,36947533700,"de Blasio Emma","De Blasio, Emma","Concordia University, Montreal, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Neuroscience",2,51,50,2
603,7801497562,"Darvesh Katherine Valenta","Darvesh, Katherine V.| Darvesh, K. V.","Mount Saint Vincent University, Halifax, Canada","Chemistry, Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Pharmacology Toxicology and Pharmaceutics, Social Sciences, Computer Science",22,423,320,10
604,15082103100,"Fricker Paul D.",NA,"Dalhousie University, Halifax, Canada","Chemistry, Physics and Astronomy",3,71,63,3
605,57203424349,"Boyd Russell Jaye","Boyd, R. J.| Boyd, Russel J.| Boyd, Russell J.| Boyd, Russell","Dalhousie University, Halifax, Canada","Chemistry, Physics and Astronomy, Chemical Engineering, Biochemistry Genetics and Molecular Biology, Materials Science, Computer Science, Mathematics, Engineering, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",256,8206,6062,45
606,7402140219,"Burke Robert Douglas","Burke, Robert| Burke, Robert D.| BURKE, ROBERT D.| Burke, R.| Burke, R. D.","University of Victoria, Victoria, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Agricultural and Biological Sciences, Engineering, Immunology and Microbiology, Neuroscience, Chemistry, Computer Science, Physics and Astronomy, Chemical Engineering, Multidisciplinary, Materials Science, Mathematics, Environmental Science",106,4088,2816,36
607,8854845100,"Watkins Russell F.","Watkins, R. F.","University of Victoria, Victoria, Canada","Biochemistry Genetics and Molecular Biology",1,24,24,1
608,7005882055,"Mareschal Jean Claude","Mareschal, Jean claude| Mareschal, J. C.","Université du Québec à Montréal, Montreal, Canada","Earth and Planetary Sciences, Physics and Astronomy, Environmental Science, Engineering, Chemistry, Agricultural and Biological Sciences",139,3964,2194,35
609,6602433096,"Gliko Alexander O.","Gliko, A. O.| Gliko, A.","Schmidt Institute of Physics of the Earth of the Russian Academy of Sciences, Moscow, Russian Federation","Earth and Planetary Sciences, Engineering, Physics and Astronomy, Chemical Engineering, Environmental Science",10,52,47,4
610,7003864594,"Shareck François","Shareck, F.| SHARECK, François| Shareck, Francìois| Shareck, Francois","INRS-Institut Armand Frappier, Laval, Canada","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Chemical Engineering, Medicine, Agricultural and Biological Sciences, Environmental Science, Materials Science, Chemistry, Physics and Astronomy, Engineering, Health Professions",74,2451,1804,30
611,7401789535,"Roy Camille","ROY, C.| Roy, C.| ROY, Camille","National Research Council Canada, Ottawa ON,, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Immunology and Microbiology, Environmental Science",28,700,606,15
612,24360367400,"Makoto Yaguchi",NA,"National Research Council Canada, Ottawa ON,, Canada","Biochemistry Genetics and Molecular Biology",1,122,122,1
613,7005187600,"Morosoli Rolf","Morosoli, R.| MOROSOLI, Rolf","INRS-Institut Armand Frappier, Laval, Canada","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Chemical Engineering, Medicine, Environmental Science, Engineering, Chemistry, Energy, Decision Sciences, Mathematics, Pharmacology Toxicology and Pharmaceutics",78,2148,1441,27
614,7007118383,"Kluepfel Dieter","Kluepfel, D.| KLUEPFEL, Dieter","INRS-Institut Armand Frappier, Laval, Canada","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Chemical Engineering, Environmental Science, Engineering, Medicine, Chemistry, Materials Science",56,2362,1637,28
615,56268177800,"Godowski Przemysław Jan","Godowski, Przemyslaw Jan| Godowski, P. J.| Godowski, P. Jan| Godowski, Przemysław J.| Godowski, Przemyslaw J.| Godowski, P.","University of Wroclaw, Wroclaw, Poland","Physics and Astronomy, Materials Science, Chemistry, Chemical Engineering, Engineering",46,295,172,11
616,7006672356,"Ørskov F.","Orskov, F.","Syddansk Universitet, Odense, Denmark","Physics and Astronomy, Chemistry, Materials Science",5,39,31,4
617,56228751500,"Christiansen M.",NA,"Syddansk Universitet, Odense, Denmark","Physics and Astronomy, Chemistry, Materials Science",9,97,91,6
618,7003426776,"Onsgaard Jens H.","Onsgaard, J.| Onsgaard, J. H.| Onsgaard, Jens","Aalborg Universitet, Aalborg, Denmark","Physics and Astronomy, Materials Science, Chemistry, Chemical Engineering, Engineering, Mathematics, Medicine, Energy, Biochemistry Genetics and Molecular Biology, Arts and Humanities",99,1185,797,20
619,7403974041,"Mitchell Reginald Harry","Mitchell, R. H.| Mitchell, Reginald H.","University of Victoria, Victoria, Canada","Chemistry, Biochemistry Genetics and Molecular Biology, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics, Materials Science, Environmental Science, Social Sciences, Physics and Astronomy, Engineering, Energy, Earth and Planetary Sciences, Immunology and Microbiology",153,6708,4833,36
620,7401848828,"Zhou Pengzu",NA,"University of Victoria, Victoria, Canada","Chemistry, Biochemistry Genetics and Molecular Biology, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics",9,229,151,8
621,57200135192,"Moerman Donald G.","Moerman, Don G.| Moerman, Don| Moerman, D. G.| Moerman, Donald","The University of British Columbia, Vancouver, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Agricultural and Biological Sciences, Multidisciplinary, Immunology and Microbiology, Neuroscience, Environmental Science, Decision Sciences, Mathematics, Pharmacology Toxicology and Pharmaceutics",102,5348,3763,42
622,7801479493,"Kiff Jane E.","Kiff, Jane","Washington University School of Medicine in St. Louis, St Louis, United States","Multidisciplinary, Medicine, Decision Sciences, Biochemistry Genetics and Molecular Biology, Mathematics, Environmental Science, Pharmacology Toxicology and Pharmaceutics",4,590,572,4
623,7006420348,"Waterston Robert H.","Waterston, R. H.| Waterston, R.| Waterston, Robert| Waterson, Robert H.| Waterson, R. H.","University of Washington School of Medicine, Seattle, United States","Biochemistry Genetics and Molecular Biology, Multidisciplinary, Medicine, Agricultural and Biological Sciences, Immunology and Microbiology, Mathematics, Decision Sciences, Environmental Science, Pharmacology Toxicology and Pharmaceutics, Arts and Humanities, Computer Science, Social Sciences, Neuroscience, Nursing",194,50988,39658,80
624,7402687244,"Yen Stanley H.","Yen, S.| Yen, S. H.| Yen, Stanley","TRIUMF, Vancouver, Canada","Physics and Astronomy, Engineering, Mathematics, Medicine, Chemistry, Materials Science",212,9351,5803,48
625,6701373150,"Abegg R.",NA,"University of Alberta, Edmonton, Canada","Physics and Astronomy, Materials Science",124,2671,1841,27
626,7005998522,"Alford W. Parker","Alford, W.| Alford, W. P.","Western University, London, Canada","Physics and Astronomy, Medicine, Materials Science, Immunology and Microbiology",117,2822,1944,33
627,7004510528,"Burzyński S.","Burzynski, S.","Western University, London, Canada","Physics and Astronomy, Chemistry",19,390,323,10
628,57197093991,"Celler A.",NA,"Western University, London, Canada","Physics and Astronomy, Engineering, Mathematics",45,1071,705,18
629,7004160559,"Frekers Dieter F.","Frekers, D.| Frekers, D. F.| Frekers, Dieter","Westfälische Wilhelms-Universität Münster, Munster, Germany","Physics and Astronomy, Engineering, Chemistry, Mathematics, Materials Science, Multidisciplinary, Environmental Science, Energy, Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology",247,5421,3068,43
630,7005663456,"Helmer Richard L.","Helmer, R.| Helmer, Richard| Helmer, R. L.","TRIUMF, Vancouver, Canada","Physics and Astronomy, Engineering, Mathematics, Earth and Planetary Sciences, Materials Science, Energy, Multidisciplinary",153,13136,7337,42
631,7402863307,"Jackson Keith P.","Jackson, Keith| Jackson, Keith H.| Jackson, K.| Jackson, K. H.| Jackson, K. P.| Jackson, K. Peter","TRIUMF, Vancouver, Canada","Physics and Astronomy, Engineering, Materials Science, Energy, Chemistry, Computer Science, Medicine, Biochemistry Genetics and Molecular Biology",192,3546,2333,34
632,57199238402,"Lu J.",NA,"TRIUMF, Vancouver, Canada","Physics and Astronomy",1,5,5,1
633,57198860044,"Miller Collie Andy","Miller, C. A.| Miller, Collie| Miller, C. Andy| Miller, C.","TRIUMF, Vancouver, Canada","Physics and Astronomy, Mathematics, Engineering, Medicine, Materials Science, Energy, Health Professions",208,8853,5122,48
634,6602244511,"Schubank R. B.","Schubank, R.","The University of British Columbia, Vancouver, Canada","Physics and Astronomy, Materials Science",41,701,597,15
635,22969481600,"Strakovsky Igor I.","Strakovsky, I.| Strakovsky, Igor| Strakovsky, I. I.","George Washington University, Washington, D.C., United States","Physics and Astronomy, Mathematics, Chemistry, Engineering, Multidisciplinary",319,10149,5220,52
636,6701762929,"Trudel A. J.","Trudel, A.","TRIUMF, Vancouver, Canada","Physics and Astronomy, Materials Science",40,1587,1236,16
637,7103394857,"Vetterli Michel C.","Vetterli, M. C.| Vogel, A.| Vetterli, M.| Vickey Boeriu, O. E.| Vetterli, Michel| Wildt, M. A.| Villa, M.| Vest, A.| Vichou, I.| Vetterli, Mike| Volpi, G.","Simon Fraser University, Burnaby, Canada","Physics and Astronomy, Engineering, Mathematics, Computer Science",324,21796,12595,75
638,57196068681,"Wu Y. S.",NA,"TRIUMF, Vancouver, Canada","Physics and Astronomy",1,5,5,1
639,6604081233,"Treszczanowicz Teresa","Treszczanowicz, T.","Institute of Physical Chemistry of the Polish Academy of Sciences, Warsaw, Poland","Chemistry, Chemical Engineering, Physics and Astronomy, Materials Science, Biochemistry Genetics and Molecular Biology",31,406,263,11
640,7409189055,"Wang Luo","Wang, L.","University of Ottawa, Canada, Ottawa, Canada","Chemistry, Chemical Engineering",15,252,162,10
641,57133745100,"Benson George C.","Benson, G. C.| Benson, G.| BENSON, G. C.","University of Ottawa, Canada, Ottawa, Canada","Chemistry, Chemical Engineering, Physics and Astronomy, Materials Science, Multidisciplinary",261,6849,3787,42
642,7003864512,"Sheasby John S.","Sheasby, John| Sheasby, J. S.","Queen's University, Kingston, Kingston, Canada","Engineering, Materials Science, Physics and Astronomy, Chemical Engineering, Medicine, Chemistry, Energy",43,495,428,14
643,6507877740,"Caughlin T. A.",NA,"Goodyear Canada Inc, , Canada","Engineering, Materials Science, Chemical Engineering",8,131,106,7
644,36934159700,"Habeeb Jacob J.","Habeeb, J. J.","Exxon Mobil Corporation, Irving, United States","Engineering, Environmental Science, Energy, Materials Science",10,120,113,4
645,12758273700,"Butler Peter A.","Butler, Peter A.| Butler, Peter| Butler, P. A.| Butler, P.","University of Liverpool, Liverpool, United Kingdom","Physics and Astronomy, Chemistry, Materials Science, Mathematics, Engineering, Biochemistry Genetics and Molecular Biology, Environmental Science, Multidisciplinary, Energy, Agricultural and Biological Sciences, Computer Science",238,6531,3708,46
646,56256837100,"Nazarewicz Withold","Nazarewicz, Witold| Nazarewicz, Witek| Nazaeewicz, W.| Nazarewicz, W.","Michigan State University, East Lansing, United States","Physics and Astronomy, Materials Science, Mathematics, Computer Science, Environmental Science, Multidisciplinary, Chemistry, Social Sciences, Earth and Planetary Sciences, Agricultural and Biological Sciences, Arts and Humanities",451,23718,11299,84
